"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2021","Egypt","Business services: Trade related services","Euro Million","1"
"Exports of Services","2021","Egypt","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2021","Egypt","Repairs and processing","Euro Million","0"
"Exports of Services","2021","Spain","Services total","Euro Million","4535"
"Exports of Services","2021","Spain","Transport","Euro Million","135"
"Exports of Services","2021","Spain","Tourism and travel","Euro Million","71"
"Exports of Services","2021","Spain","Communications","Euro Million",""
"Exports of Services","2021","Spain","Insurance","Euro Million","225"
"Exports of Services","2021","Spain","Financial services","Euro Million","293"
"Exports of Services","2021","Spain","Computer services","Euro Million",""
"Exports of Services","2021","Spain","Royalties/licences","Euro Million","72"
"Exports of Services","2021","Spain","All business services","Euro Million","795"
"Exports of Services","2021","Spain","Business services: Merchanting","Euro Million",""
"Exports of Services","2021","Spain","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2021","Spain","Business services: Operational leasing","Euro Million","409"
"Exports of Services","2021","Spain","Business services: Legal, Accounting and other professional services","Euro Million","31"
"Exports of Services","2021","Spain","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2021","Spain","Business services: Research and development","Euro Million",""
"Exports of Services","2021","Spain","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2021","Spain","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2021","Spain","Business services: Other","Euro Million",""
"Exports of Services","2021","Spain","Business services: Trade related services","Euro Million","17"
"Exports of Services","2021","Spain","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2021","Spain","Repairs and processing","Euro Million",""
"Exports of Services","2021","Finland","Services total","Euro Million","2032"
"Exports of Services","2021","Finland","Transport","Euro Million","26"
"Exports of Services","2021","Finland","Tourism and travel","Euro Million","11"
"Exports of Services","2021","Finland","Communications","Euro Million",""
"Exports of Services","2021","Finland","Insurance","Euro Million","44"
"Exports of Services","2021","Finland","Financial services","Euro Million","219"
"Exports of Services","2021","Finland","Computer services","Euro Million",""
"Exports of Services","2021","Finland","Royalties/licences","Euro Million",""
"Exports of Services","2021","Finland","All business services","Euro Million","209"
"Exports of Services","2021","Finland","Business services: Merchanting","Euro Million",""
"Exports of Services","2021","Finland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2021","Finland","Business services: Operational leasing","Euro Million","45"
"Exports of Services","2021","Finland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2021","Finland","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2021","Finland","Business services: Research and development","Euro Million",""
"Exports of Services","2021","Finland","Business services: Architectural engineering and other technical services","Euro Million","0"
"Exports of Services","2021","Finland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2021","Finland","Business services: Other","Euro Million","136"
"Exports of Services","2021","Finland","Business services: Trade related services","Euro Million","5"
"Exports of Services","2021","Finland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2021","Finland","Repairs and processing","Euro Million","0"
"Exports of Services","2021","France","Services total","Euro Million","11572"
